Pond,Night,Species_ID,Time,VegDen,SurCov,CanCov,Area
B_SM,4,LASNOC,1,3,1,1,2765
B_NC,4,MYOLUC,0,3,2,2,5450
B_TP,4,LASNOC,0,2,1,1,1429
B_NC,4,LASBOR,23,3,2,2,5450
B_NC,4,MYOLUC,23,3,2,2,5450
B_NC,4,MYOLUC,23,3,2,2,5450
B_QP,4,MYOLUC,23,3,1,2,2496
B_TP,4,LASBOR,23,2,1,1,1429
B_TP,4,LASCIN,23,2,1,1,1429
B_QP,4,LASNOC,22,3,1,2,2496
B_TP,4,EPTFUS,22,2,1,1,1429
B_TP,4,LASCIN,22,2,1,1,1429
B_TP,4,LASNOC,22,2,1,1,1429
B_NC,4,EPTFUS,21,3,2,2,5450
B_NC,4,LASCIN,21,3,2,2,5450
B_NC,4,LASCIN,21,3,2,2,5450
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,EPTFUS,21,3,1,2,2496
B_QP,4,LASNOC,21,3,1,2,2496
B_SM,4,EPTFUS,21,3,1,1,2765
B_SM,4,EPTFUS,21,3,1,1,2765
B_SM,4,LASCIN,21,3,1,1,2765
B_SM,4,MYOLUC,21,3,1,1,2765
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,EPTFUS,21,2,1,1,1429
B_TP,4,LASCIN,21,2,1,1,1429
B_TP,4,LASCIN,21,2,1,1,1429
B_TP,4,LASNOC,21,2,1,1,1429
B_TP,4,LASNOC,21,2,1,1,1429
B_TP,4,LASNOC,21,2,1,1,1429
B_NC,4,MYOLUC,20,3,2,2,5450
B_QP,4,LASNOC,20,3,1,2,2496
B_QP,4,LASNOC,20,3,1,2,2496
B_TP,4,LASNOC,20,2,1,1,1429
B_TP,4,LASNOC,20,2,1,1,1429
B_TP,4,MYOLUC,20,2,1,1,1429
B_NC,3,LASCIN,6,3,2,2,5450
B_NC,3,LASCIN,6,3,2,2,5450
B_NC,3,LASCIN,3,3,2,2,5450
B_QP,3,EPTFUS,3,3,1,2,2496
B_QP,3,EPTFUS,3,3,1,2,2496
B_QP,3,EPTFUS,3,3,1,2,2496
B_QP,3,EPTFUS,3,3,1,2,2496
B_QP,3,LASCIN,3,3,1,2,2496
B_NC,3,EPTFUS,2,3,2,2,5450
B_NC,3,EPTFUS,2,3,2,2,5450
