Night,Pond,VegDen,SurCov,CanCov,Temp,DO%,DO,pH,SpCond,CHL,Sal,A_Temp,Area,N_Activity,N_Richness,EPTFUS,LASCIN,LASNOC,MYOLUC,LASBOR
1,H_BP,2,2,2,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,16.6,1926,270,4,211,26,30,3,0
2,H_BP,2,2,2,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,15.6,1926,246,3,154,54,38,0,0
3,H_BP,2,2,2,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,13.3,1926,216,3,154,11,51,0,0
4,H_BP,2,2,2,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,6.1,1926,0,0,0,0,0,0,0
1,H_15,3,3,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,16.6,1614,99,3,58,22,19,0,0
2,H_15,3,3,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,15.6,1614,115,4,58,38,18,0,1
3,H_15,3,3,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,13.3,1614,74,3,44,17,13,0,0
4,H_15,3,3,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,6.1,1614,0,0,0,0,0,0,0
1,H_LP,3,1,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,16.6,11479,249,5,79,117,28,18,7
2,H_LP,3,1,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,15.6,11479,295,4,18,59,216,2,0
3,H_LP,3,1,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,13.3,11479,608,5,52,12,446,97,1
4,H_LP,3,1,1,18.93,31.9,2.89,7.94,1073.1,5.64,0.54,6.1,11479,0,3,0,0,0,0,0
1,B_SM,3,1,1,19.71,91.5,8.05,7.93,471.9,276,0.21,16.6,2765,22,3,6,14,2,0,0
2,B_SM,3,1,1,19.71,91.5,8.05,7.93,471.9,276,0.21,15.6,2765,104,4,14,8,81,0,1
3,B_SM,3,1,1,19.71,91.5,8.05,7.93,471.9,276,0.21,13.3,2765,7,3,4,2,0,0,1
4,B_SM,3,1,1,19.71,91.5,8.05,7.93,471.9,276,0.21,6.1,2765,5,4,2,1,1,1,0
1,B_NC,3,2,2,18.46,53.8,4.87,7.75,494.8,6.19,0.23,16.6,5450,93,5,36,21,30,1,5
2,B_NC,3,2,2,18.46,53.8,4.87,7.75,494.8,6.19,0.23,15.6,5450,108,4,37,29,39,0,3
3,B_NC,3,2,2,18.46,53.8,4.87,7.75,494.8,6.19,0.23,13.3,5450,49,5,20,7,17,4,1
4,B_NC,3,2,2,18.46,53.8,4.87,7.75,494.8,6.19,0.23,6.1,5450,8,4,1,2,0,4,1
1,B_QP,3,1,2,-1,-1,-1,-1,-1,-1,-1,16.6,2496,430,5,320,85,18,4,3
2,B_QP,3,1,2,-1,-1,-1,-1,-1,-1,-1,15.6,2496,274,4,159,69,43,0,3
3,B_QP,3,1,2,-1,-1,-1,-1,-1,-1,-1,13.3,2496,159,5,126,18,13,1,1
4,B_QP,3,1,2,-1,-1,-1,-1,-1,-1,-1,6.1,2496,30,3,25,0,4,1,0
1,B_TP,2,1,1,19.87,97.4,8.59,7.99,244.5,1.53,0.11,16.6,1429,305,3,138,138,29,0,0
2,B_TP,2,1,1,19.87,97.4,8.59,7.99,244.5,1.53,0.11,15.6,1429,415,5,240,112,57,1,5
3,B_TP,2,1,1,19.87,97.4,8.59,7.99,244.5,1.53,0.11,13.3,1429,297,5,242,40,11,3,1
4,B_TP,2,1,1,19.87,97.4,8.59,7.99,244.5,1.53,0.11,6.1,1429,23,5,10,4,7,1,1
